Country,Confirmed,Deaths,Recovered
Hubei,67332.0,2871.0,38557.0
Guangdong,1350.0,7.0,1133.0
Henan,1272.0,22.0,1234.0
Zhejiang,1213.0,1.0,1114.0
Hunan,1018.0,4.0,916.0
Anhui,990.0,6.0,956.0
Jiangxi,935.0,1.0,884.0
Shandong,758.0,6.0,516.0
Jiangsu,631.0,0.0,577.0
Chongqing,576.0,6.0,502.0
Sichuan,538.0,3.0,406.0
Heilongjiang,480.0,13.0,373.0
Beijing,418.0,8.0,297.0
Shanghai,338.0,3.0,298.0
Hebei,318.0,6.0,301.0
Fujian,296.0,1.0,270.0
Guangxi,252.0,2.0,210.0
Shaanxi,245.0,1.0,223.0
Yunnan,174.0,2.0,169.0
Hainan,168.0,5.0,158.0
Guizhou,146.0,2.0,114.0
Tianjin,136.0,3.0,124.0
Shanxi,133.0,0.0,124.0
Liaoning,125.0,1.0,106.0
Jilin,93.0,1.0,86.0
Gansu,91.0,2.0,87.0
Xinjiang,76.0,3.0,69.0
Inner Mongolia,75.0,1.0,63.0
Ningxia,75.0,0.0,69.0
Qinghai,18.0,0.0,18.0
Tibet,1.0,0.0,1.0
